surprise,dep_var,sample,n,alpha,beta,se,tstat,pval,r2
dict_surprise_ar1,dgs2_ret1d,full,234,-0.007937337072204741,0.00047094883672028237,0.006198279038219061,0.07598058006365573,0.9394345483936469,2.1233877728010775e-05
dict_surprise_ar1,dgs2_ret1d,train,146,-0.003493150684931525,0.0004958944716258718,0.0072500007563888,0.0683992303295807,0.9454678345051274,2.5474226493904517e-05
dict_surprise_ar1,dgs2_ret1d,test,88,-0.015384963400424403,-0.0006855722509038799,0.013079797475858959,-0.05241459221132611,0.9581983471963782,3.861075056821317e-05
dict_surprise_ar1,dgs2_ret1w,full,234,-0.011048840895250423,0.009650413151170776,0.015223114843208109,0.6339315738313812,0.5261254789613474,0.0037253792644161843
dict_surprise_ar1,dgs2_ret1w,train,146,-0.0031506849315068378,0.004694181630461656,0.020653939672451722,0.22727778355636274,0.8202077472585362,0.0011241071648997458
dict_surprise_ar1,dgs2_ret1w,test,88,-0.023526547576462657,0.019393022585036057,0.02732507748297428,0.7097151910042879,0.477880769952596,0.010108780737511203
dict_surprise_ar1,dgs10_ret1d,full,234,-0.0071264313195358465,-0.008414950846984562,0.006170303090291573,-1.3637824145502258,0.17263605655537828,0.0070519925833357755
dict_surprise_ar1,dgs10_ret1d,train,146,0.0003424657534246497,-0.010398401617429383,0.007944966818362926,-1.3088036558435863,0.19060086827476752,0.009740007392468053
dict_surprise_ar1,dgs10_ret1d,test,88,-0.019335844071550465,-0.005580079822169925,0.011219040452039251,-0.49737585366809606,0.6189240299174867,0.004409802821595754
dict_surprise_ar1,dgs10_ret1w,full,234,-0.008955748018033673,-0.009840305675745268,0.016077220782309266,-0.6120650956397358,0.5404946898198646,0.003456753657310796
dict_surprise_ar1,dgs10_ret1w,train,146,-0.004726027397260249,-0.014482778516282255,0.023255071419060545,-0.6227793609101429,0.5334295229153305,0.008168458616921392
dict_surprise_ar1,dgs10_ret1w,test,88,-0.015336532489112,6.810858638739425e-05,0.024164368620248268,0.002818554354046868,0.9977511219747304,1.3837332535349134e-07
dict_surprise_ar1,sp500_ret1d,full,233,0.2861074986217992,0.11446090220946036,0.13109530119957502,0.8731121646778855,0.38260194401744385,0.00413872923926506
dict_surprise_ar1,sp500_ret1d,train,145,0.44168286781009825,0.23819438566288054,0.15142121306560985,1.573058231673738,0.11570533523782417,0.018294956702004206
